example_id                                                     | status  | run_time        |
./spec/routing/awards_routing_spec.rb[1:1:5]                   | passed  | 0.00213 seconds |
./spec/routing/awards_routing_spec.rb[1:1:6]                   | passed  | 0.002 seconds   |
./spec/routing/awards_routing_spec.rb[1:1:7]                   | passed  | 0.00192 seconds |
./spec/routing/awards_routing_spec.rb[1:1:8]                   | passed  | 0.00198 seconds |
./spec/routing/user_session_routing_spec.rb[1:1:1]             | passed  | 0.00167 seconds |
./spec/routing/user_session_routing_spec.rb[1:1:2]             | passed  | 0.00112 seconds |
./spec/routing/user_session_routing_spec.rb[1:1:3]             | passed  | 0.00155 seconds |
./spec/routing/user_session_routing_spec.rb[1:1:4]             | passed  | 0.00192 seconds |
./spec/routing/user_session_routing_spec.rb[1:1:5]             | passed  | 0.00202 seconds |
./spec/routing/users_routing_spec.rb[1:1:1]                    | passed  | 0.00144 seconds |
./spec/routing/users_routing_spec.rb[1:1:2]                    | passed  | 0.00147 seconds |
./spec/routing/users_routing_spec.rb[1:1:3]                    | passed  | 0.0013 seconds  |
./spec/routing/users_routing_spec.rb[1:1:4]                    | passed  | 0.00138 seconds |
./spec/routing/users_routing_spec.rb[1:1:5]                    | passed  | 0.00149 seconds |
./spec/routing/users_routing_spec.rb[1:1:6]                    | passed  | 0.00149 seconds |
./spec/routing/users_routing_spec.rb[1:1:7]                    | passed  | 0.00165 seconds |
./spec/routing/users_routing_spec.rb[1:1:8]                    | passed  | 0.00139 seconds |
./spec/views/awards/edit.html.erb_spec.rb[1:1]                 | passed  | 0.05226 seconds |
./spec/views/awards/index.html.erb_spec.rb[1:1]                | passed  | 1.07 seconds    |
./spec/views/awards/new.html.erb_spec.rb[1:1]                  | passed  | 0.09192 seconds |
./spec/views/awards/show.html.erb_spec.rb[1:1]                 | passed  | 0.03859 seconds |
./spec/views/password_resets/new.html.erb_spec.rb[1:1]         | pending | 0.00001 seconds |
./spec/views/users/edit.html.erb_spec.rb[1:1]                  | passed  | 0.21323 seconds |
./spec/views/users/index.html.erb_spec.rb[1:1]                 | passed  | 0.03144 seconds |
./spec/views/users/new.html.erb_spec.rb[1:1]                   | passed  | 0.04362 seconds |
./spec/views/users/show.html.erb_spec.rb[1:1]                  | passed  | 0.05149 seconds |
